Company_ID,Account_Age_Months,Monthly_Recurring_Revenue,Active_Users,Support_Tickets_Last_Month,Days_Since_Last_Login,Contract_Type,Churn
CMP_1000,39,1947.1139637954486,454,11,7,Month-to-Month,1
CMP_1001,52,9044.824519187965,44,5,79,Month-to-Month,1
CMP_1002,29,7246.2866020816255,42,5,56,One Year,0
CMP_1003,15,9405.095162561047,52,6,49,Two Year,1
CMP_1004,43,6231.272154291959,187,14,42,One Year,1
CMP_1005,8,4997.308374201669,79,10,23,One Year,0
CMP_1006,21,1067.3066452234486,213,7,52,One Year,1
CMP_1007,39,6880.601674687283,187,14,79,Month-to-Month,1
CMP_1008,58,6030.983217798196,439,2,53,One Year,0
CMP_1009,19,9906.984489082404,111,13,16,Month-to-Month,0
CMP_1010,23,2772.0083889313087,192,5,37,Two Year,0
CMP_1011,11,5542.00487522494,268,9,18,One Year,0
CMP_1012,11,6684.09468362169,90,1,20,One Year,0
CMP_1013,24,6623.616160052265,328,12,46,Month-to-Month,1
CMP_1014,53,5832.288658009826,335,13,2,Month-to-Month,1
CMP_1015,36,7880.816098108642,460,8,87,Month-to-Month,1
CMP_1016,40,2447.321490504756,141,1,63,One Year,0
CMP_1017,24,7393.458402606951,350,2,3,One Year,0
CMP_1018,3,6387.478428614348,390,11,46,Month-to-Month,1
CMP_1019,22,9012.713562048446,340,14,49,One Year,1
CMP_1020,53,8548.347170819026,99,14,1,Two Year,0
CMP_1021,2,3493.896871759256,330,12,22,Month-to-Month,1
CMP_1022,24,3124.2545872639544,249,9,14,Month-to-Month,0
CMP_1023,44,9825.706576598255,473,11,85,One Year,1
CMP_1024,30,5509.019218694937,94,11,45,One Year,1
CMP_1025,38,9110.99915718715,63,1,6,One Year,0
CMP_1026,2,2056.869725914581,407,8,65,One Year,1
CMP_1027,21,6606.779690601656,32,0,21,Two Year,0
CMP_1028,33,8193.671779925568,76,4,4,Month-to-Month,0
CMP_1029,12,9500.254871071245,274,0,3,Month-to-Month,0
CMP_1030,58,3704.731339661723,28,4,30,Month-to-Month,0
CMP_1031,22,7387.3211142784985,116,7,31,Month-to-Month,1
CMP_1032,44,5618.723585876381,304,7,34,Month-to-Month,1
CMP_1033,25,1075.974797631448,489,10,83,Month-to-Month,1
CMP_1034,49,7054.997504434962,60,7,20,Two Year,0
CMP_1035,27,7055.917303259513,478,1,87,Two Year,0
CMP_1036,59,9340.764646042102,227,7,54,Month-to-Month,1
CMP_1037,42,5224.468238605238,124,11,25,One Year,0
CMP_1038,28,2687.3837467498893,183,4,15,One Year,0
CMP_1039,16,923.356322762452,292,14,38,Two Year,1
CMP_1040,15,4448.600773516104,438,0,23,One Year,0
CMP_1041,47,3368.2086507362674,429,6,52,Month-to-Month,1
CMP_1042,51,7730.338907226818,454,12,66,One Year,1
CMP_1043,44,3865.5437659899426,285,5,57,One Year,0
CMP_1044,55,9516.176364991017,376,4,57,One Year,0
CMP_1045,52,9641.94692838395,496,0,79,Two Year,0
CMP_1046,57,6398.631607068227,193,13,52,Two Year,1
CMP_1047,3,9322.272726641388,70,13,35,One Year,1
CMP_1048,37,7728.116272887709,302,0,74,One Year,0
CMP_1049,51,5695.166589263698,453,5,14,Two Year,0
CMP_1050,7,2212.925386516392,424,9,14,Month-to-Month,1
CMP_1051,21,4856.68046338148,253,11,33,Month-to-Month,1
CMP_1052,9,5828.307401944867,80,6,52,Month-to-Month,1
CMP_1053,39,8707.635016982596,141,9,1,Two Year,0
CMP_1054,18,5072.667077088817,168,9,34,One Year,1
CMP_1055,4,9027.909390440587,237,0,19,Month-to-Month,0
CMP_1056,25,6906.315300722955,259,8,24,Two Year,0
CMP_1057,14,1801.491099009878,480,14,4,One Year,0
CMP_1058,50,9952.323008588382,298,3,36,Two Year,0
CMP_1059,58,5508.71027716217,421,4,77,Month-to-Month,1
CMP_1060,9,4222.6538158862495,174,1,58,One Year,0
CMP_1061,26,6761.580762460502,321,13,32,One Year,1
CMP_1062,53,1534.4864828198713,178,11,9,One Year,0
CMP_1063,2,6547.117144156867,474,9,80,One Year,1
CMP_1064,20,5233.242004743093,349,12,67,Two Year,1
CMP_1065,28,4363.403664986539,449,7,20,Month-to-Month,0
CMP_1066,47,9553.690201199543,22,13,74,Two Year,1
CMP_1067,7,5464.127308954506,74,1,62,Month-to-Month,1
CMP_1068,44,2581.616054964415,342,2,58,Month-to-Month,1
CMP_1069,8,4860.153054084337,120,14,22,Month-to-Month,1
CMP_1070,47,9234.18034344039,84,11,67,Month-to-Month,1
CMP_1071,35,2172.9069776406495,19,14,75,Month-to-Month,1
CMP_1072,14,2532.591867538251,180,8,89,Two Year,1
CMP_1073,17,623.7808936922956,460,1,48,One Year,0
CMP_1074,36,634.8054692597882,273,13,8,Month-to-Month,1
CMP_1075,50,8379.220456105868,123,5,73,One Year,0
CMP_1076,40,7455.16476500808,303,11,15,Month-to-Month,1
CMP_1077,4,3872.8900362936038,192,3,32,Month-to-Month,1
CMP_1078,2,7133.955993661941,61,6,53,One Year,1
CMP_1079,6,4254.456299944717,203,13,67,One Year,1
CMP_1080,54,9552.519561979361,21,13,4,One Year,0
CMP_1081,42,9687.00047354733,438,5,30,Month-to-Month,0
CMP_1082,4,4231.540870188763,292,9,13,One Year,0
CMP_1083,54,8615.108110238245,410,13,21,One Year,0
CMP_1084,29,7844.345896125928,59,8,41,Two Year,1
CMP_1085,18,3444.9994031319984,445,13,19,Month-to-Month,0
CMP_1086,26,2704.378374560507,273,8,48,One Year,1
CMP_1087,44,4853.229178731922,307,9,86,One Year,1
CMP_1088,34,7922.8139858368595,91,3,63,Two Year,0
CMP_1089,10,9621.59395492308,322,0,20,Month-to-Month,0
CMP_1090,36,7754.001154232439,442,1,64,One Year,0
CMP_1091,14,8624.466357674515,33,7,37,Month-to-Month,1
CMP_1092,31,6229.110908619907,26,13,31,One Year,1
CMP_1093,48,8436.374393000195,325,9,74,Month-to-Month,1
CMP_1094,15,7951.998151032468,289,7,18,Month-to-Month,1
CMP_1095,8,4081.362648299661,52,13,20,One Year,0
CMP_1096,14,5743.907870146851,9,14,82,Month-to-Month,1
CMP_1097,23,8145.154658902101,254,1,11,Month-to-Month,0
CMP_1098,57,937.5389748045855,167,3,86,Month-to-Month,1
CMP_1099,40,8176.753182380385,206,0,44,Month-to-Month,1
CMP_1100,21,2189.9371784657224,471,6,82,Two Year,1
CMP_1101,16,5389.49436265367,105,3,64,One Year,0
CMP_1102,45,8178.616675781407,75,10,34,Two Year,1
CMP_1103,18,2911.3002424886013,434,13,87,Month-to-Month,1
CMP_1104,47,2835.1706734084537,167,7,65,Two Year,1
CMP_1105,53,4326.261785391393,177,8,55,Month-to-Month,1
CMP_1106,24,8999.106576987528,145,11,74,One Year,1
CMP_1107,26,504.20642365347487,142,8,1,Month-to-Month,1
CMP_1108,25,9063.139418098383,70,2,38,One Year,0
CMP_1109,45,1961.166734095274,202,4,9,One Year,0
CMP_1110,41,9905.82057264108,332,5,71,Month-to-Month,1
CMP_1111,29,9571.046433865447,232,5,17,Month-to-Month,0
CMP_1112,15,5199.414301117192,285,9,52,One Year,1
CMP_1113,45,5370.842354219967,176,7,18,Month-to-Month,1
CMP_1114,1,5074.718732620616,320,5,63,Month-to-Month,1
CMP_1115,25,6536.714633765465,435,5,33,Month-to-Month,1
CMP_1116,7,1361.8561712318447,44,3,4,One Year,0
CMP_1117,9,809.8705092448818,11,6,87,Two Year,1
CMP_1118,24,1048.177819951039,178,13,75,Month-to-Month,1
CMP_1119,1,4721.470817794387,155,13,52,Month-to-Month,1
CMP_1120,44,3117.705422585092,215,7,9,Two Year,0
CMP_1121,8,6409.3758425244405,306,2,64,One Year,0
CMP_1122,24,9928.2017490604,90,6,30,Month-to-Month,1
CMP_1123,11,4170.070144226426,401,2,8,Two Year,0
CMP_1124,51,5951.491913992877,257,7,5,Month-to-Month,0
CMP_1125,17,4448.237011119687,25,0,76,Month-to-Month,1
CMP_1126,8,8549.080843357664,261,0,63,Two Year,0
CMP_1127,35,9071.245832891262,383,13,1,Two Year,0
CMP_1128,35,8834.87831594997,407,5,15,Month-to-Month,0
CMP_1129,33,9756.536267452948,385,9,89,Month-to-Month,1
CMP_1130,59,761.4322588339453,448,8,82,Month-to-Month,1
CMP_1131,5,8478.253540382546,37,11,38,Month-to-Month,1
CMP_1132,42,7641.835643871386,264,13,42,Month-to-Month,1
CMP_1133,39,2672.5968893034656,238,3,46,Month-to-Month,1
CMP_1134,58,9585.040887181513,7,5,53,Two Year,0
CMP_1135,41,1907.6903181844818,351,11,26,Two Year,0
CMP_1136,28,6955.72430777213,312,4,61,One Year,0
CMP_1137,7,2636.4570597511683,493,11,67,One Year,1
CMP_1138,9,4598.116163353709,231,14,54,Month-to-Month,1
CMP_1139,8,7332.019020973405,288,0,22,Month-to-Month,0
CMP_1140,12,5851.584099313944,74,5,26,Month-to-Month,0
CMP_1141,34,4561.267397617061,458,8,83,One Year,1
CMP_1142,33,3600.2150938538784,443,14,60,Month-to-Month,1
CMP_1143,48,8476.766729233508,317,14,39,Two Year,1
CMP_1144,55,1866.2363279907302,368,11,36,One Year,1
CMP_1145,23,4585.977327033101,475,2,21,Month-to-Month,0
CMP_1146,24,9085.696931863851,258,10,41,Month-to-Month,1
CMP_1147,37,8535.570729369694,485,14,48,One Year,1
CMP_1148,35,4308.946743493943,148,2,26,Two Year,0
CMP_1149,44,7749.529454212428,28,13,63,One Year,1
CMP_1150,40,8320.027891734164,457,1,77,Month-to-Month,1
CMP_1151,22,8944.430528034483,429,12,36,One Year,1
